Lake_Series,Lake_Name,Date,pH,Contaminants,Bacteria_Level,Temperature,Turbidity,Dissolved_Oxygen,Nitrogen_Levels,Alkalinity_Level,Calcium_Hardness,Magnesium_Hardness,Sodium,Chloride_Levels,Total_Dissolved_Solids,Cadmium,Iron,Lead,Mercury,Zinc,Nitrate,Nitrite,Nickel
Hebbal Valley,Jakkur Lake,01-10-2022,8.51,36.4,1269.76,38.49,5.82,10.18,3.36,32.52,178.25,83.56,98.43,245.42,800.49,0.0017,0.12,0.004,0.0002,0.008,1.06,0.09,0.11
Hebbal Valley,Jakkur Lake,12-01-2020,6.27,58.7,545.81,22.52,1.2,5.4,5.33,115.77,219.94,40.91,97.35,193.36,932.4,0.0028,0.19,0.014,0.0001,0.011,0.98,0.08,0.1
Hebbal Valley,Jakkur Lake,31-01-2022,7.69,85.36,107.14,20.15,4.6,3.68,5.52,84.37,28.16,113.57,10.38,21.14,472.53,0.0036,0.23,0.002,0.0001,0.019,0.89,0.07,0.15
Hebbal Valley,Jakkur Lake,14-02-2024,8.46,99.11,478.3,25.82,4.85,5.36,7.57,84.2,137.56,142.26,86.92,120.29,33.2,0.0046,0.26,0.009,0.0002,0.009,0.79,0.03,0.11
Hebbal Valley,Jakkur Lake,19-11-2023,8.83,135.11,2776.12,22.92,0.91,11.12,8.23,37.47,34.1,60.97,16.46,90.02,176.26,0.0026,0.15,0.007,0.0001,0.039,0.66,0.08,0.11
Hebbal Valley,Jakkur Lake,16-11-2023,6.86,43.93,810.47,33.3,6.52,13.59,7.64,112.96,126.21,60.66,40.45,227.47,482.96,0.0031,0.19,0.007,0.0001,0.015,0.25,0.09,0.14
Hebbal Valley,Jakkur Lake,14-02-2021,7.66,70.95,239.39,11.58,1.22,10.51,9.36,158.72,125.2,5.65,64.15,32.21,30.45,0.0024,0.27,0.001,0.0002,0.031,1.31,0.04,0.13
Hebbal Valley,Jakkur Lake,16-10-2022,7.5,60.86,1152.17,16.63,4.52,14.06,9.28,32.65,174.69,63.4,95.15,88.14,552.24,0.0037,0.06,0.006,0.0001,0.019,2.18,0.04,0.13
Hebbal Valley,Jakkur Lake,16-11-2021,8.11,136.37,1574.54,30.69,2.3,10.91,4.6,60.85,240.39,74.84,52.63,117.53,322.28,0.0043,0.28,0.011,0.0002,0.037,0.54,0.05,0.12
Hebbal Valley,Jakkur Lake,15-02-2022,7.32,15.08,2835.84,13.34,5.16,11.22,0.68,63.2,189.99,79.01,60.86,215.67,776.75,0.0019,0.05,0.013,0.0002,0.035,2.69,0.09,0.14
Hebbal Valley,Jakkur Lake,10-11-2022,8.02,147.27,2598.23,38.39,0.18,3.93,0.99,63.56,161.45,119.32,93.72,30.73,615.1,0.0039,0.27,0.014,0.0001,0.017,2.02,0,0.14
Hebbal Valley,Jakkur Lake,15-02-2020,7.75,36.38,974.71,28.11,2.6,12.82,6.65,184.7,224.21,80.52,65.52,62.14,797.65,0.0023,0.01,0.009,0.0002,0.026,1.78,0.02,0.12
Hebbal Valley,Jakkur Lake,19-07-2021,8.05,100.3,1118.68,29.56,0.81,5.55,7.18,89.29,215.94,121.37,6.81,208.51,426.01,0.0039,0.26,0.01,0.0001,0.049,2.03,0.03,0.14
Hebbal Valley,Jakkur Lake,20-05-2024,8.42,81.21,193.37,29.11,6.76,4.09,5.85,85.14,0.19,65.68,75.82,73.04,858.3,0.0048,0.06,0.005,0.0002,0.02,2.12,0,0.11
Hebbal Valley,Jakkur Lake,13-01-2021,8.68,123.44,420.3,11.7,5.01,10.89,2,38.48,96.61,32.14,76.75,59.72,709.95,0.0024,0.16,0.008,0.0002,0.026,2.49,0,0.14
Hebbal Valley,Jakkur Lake,17-08-2020,8.85,23.34,2361.43,35.31,1.31,12.59,2.57,171.88,258.9,77.29,49.95,28.4,907.85,0.0002,0.1,0.016,0.0002,0.007,1.33,0.01,0.13
Hebbal Valley,Jakkur Lake,01-07-2020,6.3,37.18,1767.89,36.67,1.3,8.75,2.4,192.23,292.28,41.36,37.08,155.82,598.4,0.002,0.06,0.002,0.0001,0.042,1.34,0.02,0.14
Hebbal Valley,Jakkur Lake,04-01-2024,8.58,115.67,1643.51,39.44,0.79,10.15,9.5,32.06,71.16,113.63,80.98,110.88,793.12,0.0016,0.23,0.004,0.0001,0.016,1.51,0.02,0.11
Hebbal Valley,Jakkur Lake,18-08-2023,7.76,59.45,2422.01,11.43,5.47,4.18,6.63,35.03,232.06,63.78,68.4,201.05,994.49,0.0043,0.05,0.009,0.0001,0.039,0.58,0.07,0.15
Hebbal Valley,Jakkur Lake,05-02-2022,6.66,105.64,2587.52,20.28,5.67,8.64,2.16,154.74,23.26,41.05,94.55,54.18,497.07,0.0024,0.08,0.015,0.0001,0.008,1.4,0.06,0.11
Hebbal Valley,Jakkur Lake,02-11-2020,6.17,107.91,850.94,28.78,2.05,8.76,9.55,150.04,23.78,46.73,28.15,113.67,611.36,0.0008,0.05,0.013,0.0002,0.007,1.44,0.05,0.11
Hebbal Valley,Jakkur Lake,11-05-2024,6.11,126.29,753.07,32.64,0.11,5.52,3.77,27.16,156.17,61.35,82.51,1.71,873.35,0.0035,0.08,0.016,0.0001,0.011,2.09,0.02,0.11
Hebbal Valley,Jakkur Lake,26-09-2020,8.09,108.88,2151.33,14.22,3.25,8.59,0.36,84.42,45.8,27.14,37.18,227.99,965.71,0.0014,0.23,0.017,0.0002,0.022,2.03,0.02,0.13
Hebbal Valley,Jakkur Lake,19-12-2022,8.55,45.27,344.53,29.21,4.19,7.59,2.92,86.28,89.75,83.95,42.63,177.81,964.45,0.0019,0.22,0.018,0.0001,0.031,1.71,0.05,0.12
Hebbal Valley,Jakkur Lake,13-08-2020,7.22,144.14,2972.21,29.97,6.54,5.25,4.85,119.72,17.95,102.2,59.38,202.79,544.63,0.0038,0.1,0.012,0.0002,0.02,0.55,0.07,0.1
Hebbal Valley,Jakkur Lake,08-01-2023,8.18,18.01,1787.81,37.3,6.43,6.43,6.1,97.8,127.05,53.71,76.69,73.06,945.63,0.0033,0.14,0.016,0.0002,0.038,0.87,0.02,0.14
Hebbal Valley,Jakkur Lake,27-02-2021,6.07,29.21,2367.23,10.41,6.23,14.41,6.24,60.88,250.81,115.98,87.47,169.04,912.27,0.0007,0.3,0.01,0.0002,0.007,0.91,0.05,0.13
Hebbal Valley,Jakkur Lake,25-03-2024,7.53,70.31,2724.01,35.09,6.61,5.85,3.86,65.89,50.66,61.02,69.8,114.67,160.24,0.0034,0.17,0.015,0.0001,0.004,1.8,0.01,0.1
Hebbal Valley,Jakkur Lake,12-12-2023,7.6,42.47,1860.27,21.8,5.6,10.58,5.25,146.51,18.42,85.88,92.13,175.35,536.39,0.0008,0.11,0.011,0.0001,0.036,1.42,0.08,0.12
Hebbal Valley,Jakkur Lake,18-06-2021,8.02,11.04,2511.55,19.73,4.62,6.83,7.75,118.98,296.67,5.46,17.94,196.08,610.39,0.0028,0.01,0.013,0.0002,0.05,2.67,0.09,0.14
Hebbal Valley,Jakkur Lake,05-04-2021,7.5,3.44,1032.64,24.14,4.37,6.71,6.49,49.23,37.59,30.87,2.56,164.99,822.98,0.0024,0.27,0.002,0.0002,0.027,2.72,0.02,0.12
Hebbal Valley,Jakkur Lake,26-05-2024,6.66,21.07,1122.92,25.57,0.33,12.5,0.75,52.75,55.39,12.02,4.51,31,899.04,0.0046,0.15,0.019,0.0002,0.033,1.22,0.09,0.15
Hebbal Valley,Jakkur Lake,09-09-2020,7.66,12.11,2383.85,16.74,2.36,7.72,5.2,86.07,97.78,115.68,44.26,122.39,961.94,0.0015,0.19,0.017,0.0001,0.04,1.83,0.05,0.12
Hebbal Valley,Jakkur Lake,02-04-2021,7.59,12.66,1731.5,16.55,4.11,5.75,0.55,194.36,208.96,74.53,35.07,201.76,356.31,0.0025,0.18,0.018,0.0001,0.024,1,0.02,0.1
Hebbal Valley,Jakkur Lake,20-01-2021,6.01,92.23,448.62,39.49,0.41,14.46,8.39,155.52,188.21,131.32,11.23,214.81,730.62,0.004,0.22,0.002,0.0002,0.022,0.44,0.03,0.13
Hebbal Valley,Jakkur Lake,19-02-2023,7.03,63.44,245.17,19.6,5.17,10.97,7.09,111.91,197.28,146.34,28.01,88.49,18.4,0.0036,0.13,0.005,0.0002,0.041,0.14,0.1,0.11
Hebbal Valley,Jakkur Lake,12-11-2021,8.01,64.77,194.53,37.11,2.07,4.5,6.88,61.49,214.77,9.73,85.44,72.52,219.93,0.0008,0.15,0.006,0.0002,0.006,0.78,0.1,0.14
Hebbal Valley,Jakkur Lake,17-08-2022,6.48,66.49,409.66,32.61,1.14,7.26,3.95,26.9,5.96,137.16,93.7,78.6,813.69,0.0024,0.19,0.018,0.0001,0.037,2.67,0.07,0.13
Hebbal Valley,Jakkur Lake,18-05-2020,8.16,65.5,51.86,14.19,3.9,12.66,6.11,167.72,28.74,120.52,35.55,214.54,111.02,0.0005,0.1,0.006,0.0001,0.014,1.58,0.09,0.14
Hebbal Valley,Jakkur Lake,06-01-2020,8.91,45.87,1723.08,34.49,2.53,6.3,4.25,126.59,198.01,57.13,89.26,223.45,341.4,0.0002,0.13,0.019,0.0001,0.006,1.55,0.01,0.13
Hebbal Valley,Jakkur Lake,01-10-2020,6.56,24.7,908.52,29.26,2.18,11.55,1.33,111.98,174.01,4.71,22.61,188.44,209.62,0.0042,0.09,0.003,0.0002,0.047,0.62,0.02,0.1
Hebbal Valley,Jakkur Lake,03-06-2023,6.16,80.95,1799.76,32.76,1.87,8.1,1.79,171.58,178.36,119.31,35.33,226.68,333.35,0.0015,0.05,0.004,0.0002,0.012,2.38,0.08,0.1
Hebbal Valley,Jakkur Lake,20-06-2020,7.16,29.24,72.03,19.38,0.29,4.7,3.41,187.62,179.1,26.26,37.72,28.93,552.36,0.0035,0.18,0.015,0.0002,0.019,1.42,0.09,0.12
Hebbal Valley,Jakkur Lake,16-09-2021,8.8,62.39,1177.33,29.33,6.12,5.12,6.73,33.95,117.27,77.43,93.84,197.46,907.94,0.0011,0.2,0.006,0.0001,0.004,0.83,0.09,0.14
Hebbal Valley,Jakkur Lake,25-11-2020,8.11,87.28,416.02,20.54,0.41,4.19,9.88,41.89,94.79,79.5,62.09,87.18,257.82,0.0003,0.26,0.015,0.0002,0.01,1.96,0.04,0.13
Hebbal Valley,Jakkur Lake,15-12-2020,7.58,38.9,2286.76,20.73,3.14,5.84,2.36,31.83,184.29,120.16,13.14,70.47,965.28,0.0024,0.18,0.016,0.0002,0.015,2.13,0.08,0.14
Hebbal Valley,Jakkur Lake,13-02-2022,6.73,37.69,1403.49,25.71,6.05,13.54,1.81,132.99,146.12,28.33,36.04,216,644.62,0.0008,0.28,0.012,0.0001,0.005,2.1,0.01,0.13
Hebbal Valley,Jakkur Lake,05-07-2023,6.15,149.17,220.01,12.39,4.76,6.78,4.15,35.66,257.24,121.88,70.82,27.21,391.43,0.0031,0.25,0.017,0.0002,0.049,0.9,0.08,0.11
Hebbal Valley,Jakkur Lake,12-03-2021,8.59,119.09,2464.1,28.48,1.95,6.15,2.45,74.8,22.59,90.56,54.79,241.22,511.05,0.0034,0.12,0.01,0.0001,0.017,1.58,0.04,0.15
Hebbal Valley,Jakkur Lake,31-01-2021,7.02,73.24,2968.59,21.48,4.7,8.37,9.15,190.75,64.56,8.65,48.04,82.06,795.65,0.0026,0.22,0.011,0.0001,0.043,1.32,0.09,0.12
Hebbal Valley,Jakkur Lake,05-04-2021,6.46,45.19,2596.12,19.78,3.22,11.85,4.34,44.63,234.54,91.77,76.93,3.19,622.59,0.0008,0.13,0.014,0.0002,0.007,1.98,0,0.13
Hebbal Valley,Jakkur Lake,13-06-2023,6.72,140.26,600.39,21.62,1.87,5.96,6.44,90.1,129.51,127.09,20.79,234.99,666.42,0.0041,0.13,0.018,0.0001,0.041,2.32,0,0.11
Hebbal Valley,Jakkur Lake,09-02-2020,8.58,26.85,1341.13,35.05,1.63,4.65,1.32,59.3,227.34,113.17,3.1,36.11,474.06,0.0039,0.28,0.011,0.0001,0.042,2.94,0.07,0.12
Hebbal Valley,Jakkur Lake,03-01-2020,6.44,118.87,2965.27,17.93,2.39,12.11,6.82,33.11,97.05,65.22,16,86.96,582.37,0.0016,0.08,0.003,0.0002,0.003,0.06,0.05,0.14
Hebbal Valley,Jakkur Lake,21-01-2023,6.18,17.11,518.94,14.91,0.64,5.1,9.5,49.7,205.59,25.34,24.76,140.79,723.17,0.0004,0.01,0.017,0.0002,0.044,0.31,0.04,0.13
Hebbal Valley,Jakkur Lake,24-02-2024,6,149.81,1689.32,25.73,5.81,14.54,7.02,26.45,6.49,106.95,58.7,15.01,510.38,0.0024,0.13,0.017,0.0001,0.016,0.56,0.09,0.1
Hebbal Valley,Jakkur Lake,14-07-2020,8.15,52.97,1777.44,11.45,2.53,8.05,1.9,117.26,101.17,33.08,90.28,99.26,777.79,0.001,0.26,0.002,0.0001,0.007,2.07,0.04,0.13
Hebbal Valley,Jakkur Lake,29-08-2022,8.32,45.31,884.55,31.93,4.27,8.55,2.85,117.85,93.99,138.43,22.77,110.53,650.58,0.0003,0.17,0.015,0.0002,0.018,1.84,0.04,0.15
Hebbal Valley,Jakkur Lake,17-11-2021,8.3,34.61,2461.46,19.81,0.45,9.97,7.63,110.01,68.54,98.18,10.02,199.79,535.04,0.003,0.15,0.015,0.0002,0.02,3,0.09,0.14
Hebbal Valley,Jakkur Lake,10-02-2021,8.7,107.85,2114.55,37.51,4.5,6.14,9.25,119.75,235.15,98.98,57.27,31.44,409.05,0.0021,0.03,0.01,0.0001,0.016,1.26,0.03,0.1
Hebbal Valley,Jakkur Lake,13-05-2023,6.5,61.81,1355.39,32.02,4.34,8.29,4.71,184.81,46.29,94.9,73.69,222.46,218.13,0.0012,0.02,0.012,0.0002,0.042,0.23,0.1,0.11
Hebbal Valley,Jakkur Lake,16-03-2020,6.77,135.44,1147.6,20.79,1.43,7.3,8.4,168.38,216.52,125.27,58.62,114.87,326.46,0.0012,0.07,0.011,0.0001,0.024,2.27,0.01,0.12
Hebbal Valley,Jakkur Lake,24-11-2022,8.11,90.72,2756.37,38.04,5.75,9.13,1.86,81.92,187.43,65.99,71.19,150.01,128.01,0.0006,0.22,0.018,0.0002,0.049,0.9,0.04,0.15
Hebbal Valley,Jakkur Lake,14-09-2020,6.98,64.63,827.04,19.63,6.28,7.81,9.5,36.26,52.05,57.21,33.48,201.06,610.73,0.0014,0.29,0.01,0.0002,0.045,2.24,0.04,0.12
Hebbal Valley,Jakkur Lake,25-04-2024,6.75,81.71,1620.05,19.97,2.93,6.79,2.84,116.92,203.19,6.43,7.59,178.57,633.19,0.0023,0.09,0.014,0.0002,0.045,0.28,0.05,0.13
Hebbal Valley,Jakkur Lake,23-09-2023,8.21,69.76,386.5,28.76,1.86,11.03,1.97,97.87,243.14,116.9,73.73,204.89,878.11,0.0025,0.01,0.019,0.0002,0.03,0.04,0,0.13
Hebbal Valley,Jakkur Lake,12-05-2020,8.21,92.27,2728.02,38.62,6.65,10.87,5.5,193,78.1,88.44,8.45,248.19,387.77,0.0033,0.13,0.005,0.0001,0.022,2.78,0.02,0.15
Hebbal Valley,Jakkur Lake,11-04-2024,7.7,61.81,2114.13,38.4,4.85,3.6,5.4,113.82,140.84,80.02,57.3,185.26,205.33,0.003,0.15,0.012,0.0002,0.045,1.12,0.01,0.12
Hebbal Valley,Jakkur Lake,05-02-2021,7.29,106.28,785.14,16.58,6.8,4.22,0.43,33.67,233.4,30.87,0.61,33.79,217.34,0.0044,0.04,0.009,0.0001,0.032,0.59,0.07,0.11
Hebbal Valley,Jakkur Lake,17-04-2024,8.81,96.48,1020.88,20.44,1.02,14.36,1.6,70.46,212.7,106.67,9.3,211.12,729.96,0.0009,0.18,0.004,0.0002,0.014,2.69,0.04,0.14
Hebbal Valley,Jakkur Lake,28-01-2021,7.86,116.78,1070.82,30.85,1.74,8.27,8.34,45.81,47.96,74.93,66.79,94.35,698.5,0.0005,0.12,0.019,0.0002,0.029,0,0.01,0.11
Hebbal Valley,Jakkur Lake,17-01-2021,6.92,99.3,428.88,12.72,6.66,11.83,9.24,133.16,114.6,141.32,84.75,202.85,635.39,0.0009,0.17,0.02,0.0001,0.024,0.99,0.08,0.14
Hebbal Valley,Jakkur Lake,19-02-2020,7.27,66.29,916.19,34.77,4.23,12.41,3.78,85.54,41.67,44.06,71.26,31.33,28.09,0.0014,0.03,0.013,0.0001,0.042,2.32,0.03,0.13
Hebbal Valley,Jakkur Lake,18-02-2023,7.86,35.63,1222.21,29.68,1.91,9.28,5.06,129.95,44.44,129.71,74.89,190.26,351.06,0.0021,0.11,0.011,0.0002,0.042,1.74,0.01,0.12
Hebbal Valley,Jakkur Lake,21-01-2021,7.82,132.09,2266.26,18.68,2.63,7.05,2.82,174.62,298.75,105.31,86.73,121.11,408.91,0.0047,0.24,0.015,0.0001,0.048,1.16,0.05,0.1
Hebbal Valley,Jakkur Lake,16-07-2021,6.9,24.94,419.11,26.07,0.21,5.38,5.35,84.42,3.87,143.02,97.71,4.36,71.66,0.0009,0.04,0.015,0.0001,0.003,2.17,0.03,0.13
Hebbal Valley,Jakkur Lake,15-05-2024,7.04,137.07,148.87,25.56,1.19,12.83,4.8,137.84,135.5,147.91,8.84,197.89,58.69,0.0004,0.25,0.018,0.0002,0.016,2.86,0.05,0.12
Hebbal Valley,Jakkur Lake,05-02-2024,8.29,134.07,1963.56,21.5,6.17,13.56,1.7,43.1,116.23,2.54,47.68,156.86,835.43,0.0048,0.25,0.01,0.0002,0.047,0.48,0.01,0.14
Hebbal Valley,Jakkur Lake,12-05-2022,7.14,3.4,2762.61,35.47,2.8,14.23,1.25,20.24,162.33,11.73,37.61,235.69,223.89,0.005,0.19,0.02,0.0001,0.007,0.49,0.02,0.12
Hebbal Valley,Jakkur Lake,22-12-2023,8.21,80.31,2881.58,28.8,6.86,5.96,3.81,88.98,208.4,57.64,60.05,64.27,510.86,0.0015,0.04,0.002,0.0001,0.012,2.72,0.05,0.11
Hebbal Valley,Jakkur Lake,11-06-2022,8.92,121.4,27.26,21.75,6.38,11.42,1.69,73.07,297.85,18.12,11.68,5.6,861.3,0.0038,0.07,0.009,0.0001,0.047,0.38,0.05,0.11
Hebbal Valley,Jakkur Lake,18-11-2022,6.11,122.78,1611.79,38.24,5.61,6.19,2.48,71.37,299.01,16.37,85.44,62.42,97.49,0.0003,0.24,0.014,0.0002,0.013,2.25,0.02,0.14
Hebbal Valley,Jakkur Lake,20-07-2020,8.92,102.82,105.83,21.73,6.29,8.49,7.09,128.82,19.55,148.51,90.86,173.2,819.82,0.0042,0.08,0.019,0.0001,0.015,2.94,0.06,0.13
Hebbal Valley,Jakkur Lake,23-04-2020,7.31,134.18,437,10.93,3.37,14.34,1.12,170.16,219.75,131.79,53.26,235.58,413.4,0.0033,0.1,0.016,0.0001,0.042,2.15,0.02,0.14
Hebbal Valley,Jakkur Lake,17-08-2022,6.94,69.99,2866.14,30.49,0.23,9.24,7.2,43.31,215.25,105.34,60.71,40.69,764.46,0.0014,0.15,0.019,0.0002,0.031,2.86,0.08,0.11
Hebbal Valley,Jakkur Lake,03-05-2024,8.6,22.62,2778.94,22.05,5.87,7.93,7.05,106.62,174.21,65.12,71.6,65.26,644.38,0.0022,0.02,0.013,0.0002,0.005,1.12,0.08,0.1
Hebbal Valley,Jakkur Lake,27-02-2023,7.35,68.99,1654.44,39.2,0.38,8.55,4.4,55.79,97.08,45.48,93.62,10.1,583.08,0.0011,0.16,0.015,0.0002,0.015,1.24,0.07,0.12
Hebbal Valley,Jakkur Lake,21-07-2020,8.25,24.7,29.75,24.6,2.76,13.23,3.35,163.42,134.11,42.94,64.19,162.23,772.65,0.0029,0.14,0.017,0.0002,0.028,0.87,0.07,0.14
Hebbal Valley,Jakkur Lake,27-07-2023,7.5,20.89,1548.6,22.03,2.61,7.34,3.11,166.82,60.26,1.98,74.05,67.16,972.86,0.0031,0.15,0.01,0.0001,0.02,0.83,0.03,0.13
Hebbal Valley,Jakkur Lake,24-04-2022,7.36,63.94,1872.38,32.66,2.45,4.96,6.72,165.64,137.84,4.31,3.78,54.21,737.54,0.0034,0.23,0.008,0.0001,0.026,0.97,0.07,0.12
Hebbal Valley,Jakkur Lake,07-08-2023,6.94,59.39,167.21,34.25,4.71,11.66,9.7,80.16,117.51,40.55,59.41,121.86,138.5,0.0042,0.03,0.015,0.0001,0.018,2.92,0.05,0.11
Hebbal Valley,Jakkur Lake,11-12-2023,6.09,135.95,1696.95,23.67,4.55,14.32,8.84,192.98,33.25,98.35,15.47,101.27,499.3,0.0019,0.15,0.008,0.0001,0.009,1.99,0.09,0.14
Hebbal Valley,Jakkur Lake,07-06-2023,7.85,54.45,801.63,18.24,1.26,12.49,7.68,115.82,75.38,39.08,8.21,23.32,926,0.0025,0.17,0.005,0.0001,0.042,0.09,0.07,0.11
Hebbal Valley,Jakkur Lake,11-10-2022,6.6,43.48,1465.26,39.16,4.29,10.25,4.88,60.05,68.35,22.18,31.11,226.18,428.19,0.0023,0.14,0.006,0.0002,0.05,2.93,0.06,0.13
Hebbal Valley,Jakkur Lake,20-01-2023,8.78,55.02,2915.29,39.43,0.09,13.1,8.13,41.8,1.78,129.85,78.37,109.49,697.92,0.0023,0.08,0.016,0.0001,0.009,1.74,0.09,0.11
Hebbal Valley,Jakkur Lake,15-05-2023,8.11,88.34,2299.91,11.87,6.75,13.15,5.73,162.91,267.06,59.11,49.29,245.56,117.04,0.0026,0.18,0.015,0.0001,0.049,0.59,0.08,0.14
Hebbal Valley,Jakkur Lake,27-01-2022,7.46,144.86,301.98,22.49,0.89,4.25,2.97,86.09,190.19,88.48,31.82,186.41,647.39,0.0047,0.15,0.016,0.0001,0.01,0.67,0.09,0.11
Hebbal Valley,Jakkur Lake,22-11-2023,8.04,112.38,1318.22,23.09,1.58,5.34,4.95,121.55,227.77,20.45,87.54,4.18,98.64,0.0019,0.2,0.012,0.0002,0.005,1.72,0.02,0.14
Hebbal Valley,Jakkur Lake,03-12-2022,6.49,135.96,1487.63,36.18,6.72,6.64,1.38,81.72,30.95,114.06,40.73,71.2,87.02,0.0033,0.25,0.003,0.0002,0.021,0.17,0.1,0.14
Hebbal Valley,Jakkur Lake,19-11-2023,7.68,21.39,392.91,23.4,2.51,10.05,2.38,32.35,221.49,120.82,39.42,99.9,679.4,0.0019,0.27,0.016,0.0002,0.036,0.89,0.09,0.14
Hebbal Valley,Yelahanka Lake,02-02-2024,6.88,115.34,2080.51,35.59,6.04,9.49,8.72,184.16,149.63,109.59,25.22,128.48,237.54,0.0026,0.06,0.013,0.0002,0.029,2.61,0.08,0.14
Hebbal Valley,Yelahanka Lake,27-09-2022,8.8,10.66,925.79,11.87,3.77,12.02,7.66,71.86,179.58,98.73,55.22,215.4,79.74,0.0014,0.15,0.007,0.0001,0.012,0.1,0.07,0.11
Hebbal Valley,Yelahanka Lake,11-02-2021,6.1,32.67,2424.23,20.61,6.68,3.29,2.35,166.97,104.89,31.85,71.72,39.3,547.92,0.0019,0.02,0.005,0.0001,0.022,2.82,0.04,0.1
Hebbal Valley,Yelahanka Lake,21-06-2021,7.49,119.55,662.27,26.54,5.15,11.82,9.87,135.56,29.41,101.33,35.49,156.11,852.07,0.0042,0.1,0.014,0.0002,0.04,2.33,0.07,0.13
Hebbal Valley,Yelahanka Lake,28-06-2020,7.64,98.79,297.13,26.64,1.41,10.4,8.5,185.55,273.63,14.97,55.13,182.54,642.16,0.0044,0.21,0.016,0.0002,0.021,2.43,0.03,0.14
Hebbal Valley,Yelahanka Lake,06-07-2023,7.82,43.66,147.38,33.93,3.9,11.04,2.78,60.82,192.72,116.17,89.93,81.96,736.5,0.0028,0.06,0.019,0.0002,0.015,2.36,0.08,0.12
Hebbal Valley,Yelahanka Lake,19-03-2021,7.45,87.75,1487.83,31.86,2.47,14.56,4.02,78.67,198.39,97.77,9.88,86.09,65.25,0.0047,0.22,0.009,0.0001,0.016,2.13,0.06,0.12
Hebbal Valley,Yelahanka Lake,22-05-2021,7.39,34.67,959.24,11.9,2.56,12.39,7.49,131.1,255.53,91.25,6.49,90.26,278.97,0.0017,0.27,0.002,0.0002,0.022,2.03,0.05,0.11
Hebbal Valley,Yelahanka Lake,30-04-2024,6.16,126.47,2536.46,37.83,6.31,14.03,1.99,25.12,69.91,11.89,0.5,131.16,743.03,0.0011,0.14,0.006,0.0002,0.009,0.35,0.01,0.13
Hebbal Valley,Yelahanka Lake,24-06-2021,8.51,7.26,2865.2,23.27,2.8,6.79,7.15,60.83,160.28,108.33,95.29,223.34,222.1,0.0027,0.11,0.017,0.0002,0.035,2.42,0.06,0.13
Hebbal Valley,Yelahanka Lake,20-03-2021,6.95,133.71,1687.91,33.88,5.14,6.57,3.29,39.67,160.69,120.24,7.52,155.65,368.08,0.002,0.08,0.002,0.0001,0.012,1.46,0.04,0.14
Hebbal Valley,Yelahanka Lake,04-02-2021,7.28,52.44,2064.85,17.3,5.55,5.7,7.84,63.82,122.57,35.93,12.22,125.45,309.34,0.0021,0.19,0.011,0.0001,0.042,2.84,0.02,0.15
Hebbal Valley,Yelahanka Lake,26-07-2020,7.79,136.94,2379.48,12.67,3.46,3.52,5.41,166.49,54.71,25.84,79.75,37.27,706.31,0.0035,0.19,0.017,0.0002,0.038,0.61,0.02,0.13
Hebbal Valley,Yelahanka Lake,02-07-2022,7.47,110.25,2014.67,27.41,6.75,9.26,8.56,196.53,108.17,81.23,41.42,74.08,472.67,0.0046,0.02,0.018,0.0001,0.045,2.36,0.02,0.13
Hebbal Valley,Yelahanka Lake,03-10-2021,6.94,128.28,2358.05,39.91,2.47,6.38,4.94,62.91,11.71,122.11,18.96,172.15,94.98,0.0017,0.24,0.008,0.0002,0.014,2.82,0.09,0.12
Hebbal Valley,Yelahanka Lake,20-03-2022,8.3,65.25,2160.53,12.05,6.9,8.25,5.47,78.54,260.82,86.25,5.29,128.03,2.87,0.0012,0,0.005,0.0001,0.011,1.31,0.03,0.13
Hebbal Valley,Yelahanka Lake,27-05-2022,7.02,31.46,2735.03,39.54,0.42,12.17,7.1,25.08,118.5,118.78,38.85,152.15,645.15,0.0032,0.22,0.018,0.0002,0.022,0.73,0.05,0.13
Hebbal Valley,Yelahanka Lake,12-12-2021,7.94,20.73,2312.34,29.56,1.26,6.98,6.21,159.71,20.37,30.94,66.55,32.4,370.28,0.003,0.24,0.01,0.0001,0.005,2.64,0.09,0.15
Hebbal Valley,Yelahanka Lake,01-10-2020,7.43,139.71,759.09,39.25,6.93,14.09,9.44,52.44,77.12,89.48,18.1,139.64,734.14,0.0022,0.27,0.017,0.0002,0.036,2.22,0.07,0.14
Hebbal Valley,Yelahanka Lake,03-08-2021,8.44,113.6,2814.51,30.15,3.65,5.11,4.92,149.46,214.3,144.22,29.14,21.1,707.96,0.0045,0.3,0.009,0.0001,0.006,0.7,0.03,0.13
Hebbal Valley,Yelahanka Lake,07-05-2020,7.71,91.88,1585.65,22.72,1.18,11.93,0.16,88.19,144.58,120.75,19.78,87.48,93.67,0.0015,0.19,0.008,0.0001,0.046,1.13,0,0.15
Hebbal Valley,Yelahanka Lake,19-06-2020,8.53,29.32,2207.63,20.6,5.74,5.15,2.47,37.28,165.62,15.3,66.76,217.29,960.8,0.0034,0.08,0.002,0.0001,0.036,0.64,0.04,0.13
Hebbal Valley,Yelahanka Lake,12-03-2023,6.14,115.67,974.74,14.22,5.84,8.14,1.7,30.95,79.83,20.88,11.35,140.83,48.08,0.0036,0.28,0.016,0.0001,0.025,1.66,0.05,0.1
Hebbal Valley,Yelahanka Lake,11-11-2021,8.92,109.88,1287.15,11.55,4.68,8.97,5.45,95.25,276.32,130.91,25.49,50.75,794.65,0.0022,0.09,0.01,0.0001,0.049,0.38,0.06,0.13
